0	998
1	994
2	990
3	985
4	983
5	980
6	979
7	973
8	967
9	965
10	964
11	961
12	956
13	952
14	949
15	945
16	942
17	938
18	936
19	929
20	926
21	924
22	918
23	912
24	911
25	910
26	908
27	906
28	901
29	896
30	891
31	888
32	885
33	881
34	878
35	871
36	869
37	868
38	864
39	859
40	859
41	859
42	857
43	854
44	852
45	848
46	847
47	842
48	842
49	841
50	840
51	838
52	837
53	832
54	830
55	826
56	821
57	817
58	815
59	813
60	809
61	807
62	804
63	801
64	798
65	796
66	792
67	787
68	786
69	786
70	783
71	782
72	780
73	778
74	775
75	773
76	771
77	765
78	761
79	760
80	758
81	757
82	755
83	752
84	751
85	749
86	747
87	747
88	746
89	742
90	738
91	736
92	733
93	732
94	729
95	726
96	724
97	723
98	722
99	716
100	710
101	708
102	705
103	704
104	703
105	699
106	695
107	689
108	689
109	686
110	683
111	680
112	677
113	673
114	672
115	668
116	665
117	663
118	658
119	654
120	651
121	649
122	647
123	643
124	642
125	642
126	639
127	632
128	627
129	626
130	624
131	623
132	621
133	621
134	619
135	616
136	615
137	615
138	614
139	613
140	612
141	609
142	606
143	603
144	598
145	596
146	592
147	592
148	588
149	587
150	584
151	584
152	581
153	580
154	578
155	576
156	575
157	573
158	573
159	568
160	567
161	567
162	566
163	563
164	561
165	560
166	560
167	557
168	552
169	549
170	547
171	542
172	541
173	539
174	537
175	536
176	535
177	532
178	530
179	529
180	524
181	524
182	520
183	518
184	518
185	518
186	516
187	513
188	510
189	505
190	502
191	499
192	498
193	495
194	494
195	493
196	492
197	491
198	490
199	489
200	485
201	484
202	480
203	479
204	479
205	476
206	474
207	473
208	472
209	472
210	470
211	465
212	465
213	465
214	464
215	463
216	461
217	459
218	458
219	458
220	455
221	453
222	451
223	447
224	446
225	439
226	439
227	439
228	439
229	437
230	436
231	434
232	433
233	431
234	429
235	426
236	425
237	423
238	422
239	421
240	421
241	419
242	419
243	418
244	417
245	413
246	411
247	410
248	410
249	410
250	409
251	409
252	408
253	407
254	406
255	403
256	402
257	400
258	400
259	399
260	397
261	394
262	393
263	391
264	389
265	389
266	388
267	387
268	386
269	385
270	385
271	385
272	384
273	382
274	381
275	381
276	379
277	379
278	377
279	375
280	373
281	371
282	370
283	369
284	368
285	368
286	364
287	362
288	359
289	358
290	356
291	355
292	354
293	351
294	350
295	350
296	349
297	348
298	348
299	347
300	346
301	346
302	346
303	344
304	343
305	342
306	337
307	335
308	334
309	333
310	332
311	328
312	328
313	326
314	326
315	326
316	325
317	323
318	322
319	320
320	319
321	316
322	316
323	315
324	315
325	314
326	310
327	310
328	308
329	306
330	305
331	303
332	300
333	300
334	300
335	299
336	298
337	297
338	295
339	295
340	295
341	293
342	292
343	291
344	291
345	290
346	289
347	289
348	288
349	286
